province,region,region_id,province_id
PANGASINAN,Region I,1,1
ILOCOS NORTE,Region I,1,2
ALBAY,Region V,2,3
SOUTH COTABATO,Region XII,3,4
ILOCOS SUR,Region I,1,5
LA UNION,Region I,1,6
MAGUINDANAO,BARMM,4,7
CAMARINES SUR,Region V,2,8
NORTH COTABATO,Region XII,3,9
ORIENTAL MINDORO,MIMAROPA,5,10
BENGUET,CAR,6,11
CAGAYAN,Region II,7,12
ABRA,CAR,6,13
ILOILO,Region VI,8,14
CAVITE,Region IV-A,9,15
SULTAN KUDARAT,Region XII,3,16
CAPIZ,Region VI,8,17
ZAMBALES,Region III,10,18
DAVAO ORIENTAL,Region XI,11,19
TAWI-TAWI,BARMM,4,20
DAVAO DEL NORTE,Region XI,11,21
SARANGANI,Region XII,3,22
LAGUNA,Region IV-A,9,23
BULACAN,Region III,10,24
COMPOSTELA VALLEY,Region XI,11,25
BATANGAS,Region IV-A,9,26
PAMPANGA,Region III,10,27
LEYTE,Region VIII,12,28
BATANES,Region II,7,29
NUEVA ECIJA,Region III,10,30
ISABELA,Region II,7,31
NORTH COTABATO,BARMM,4,32
BUKIDNON,Region X,13,33
BOHOL,Region VII,14,34
OCCIDENTAL MINDORO,MIMAROPA,5,35
PALAWAN,MIMAROPA,5,36
LANAO DEL NORTE,Region X,13,37
NUEVA VIZCAYA,Region II,7,38
QUIRINO,Region II,7,39
AURORA,Region III,10,40
BATAAN,Region III,10,41
TARLAC,Region III,10,42
NCR   SECOND DISTRICT,NCR,15,43
SORSOGON,Region V,2,44
DAVAO DEL SUR,Region XI,11,45
QUEZON,Region IV-A,9,46
RIZAL,Region IV-A,9,47
DAVAO OCCIDENTAL,Region XI,11,48
ROMBLON,MIMAROPA,5,49
MARINDUQUE,MIMAROPA,5,50
MISAMIS ORIENTAL,Region X,13,51
CAMARINES NORTE,Region V,2,52
NEGROS OCCIDENTAL,Region VI,8,53
CITY OF ISABELA,Region IX,16,54
CATANDUANES,Region V,2,55
MASBATE,Region V,2,56
AKLAN,Region VI,8,57
ANTIQUE,Region VI,8,58
GUIMARAS,Region VI,8,59
CEBU,Region VII,14,60
NEGROS ORIENTAL,Region VII,14,61
SIQUIJOR,Region VII,14,62
BILIRAN,Region VIII,12,63
SOUTHERN LEYTE,Region VIII,12,64
EASTERN SAMAR,Region VIII,12,65
NORTHERN SAMAR,Region VIII,12,66
WESTERN SAMAR,Region VIII,12,67
ZAMBOANGA DEL NORTE,Region IX,16,68
ZAMBOANGA DEL SUR,Region IX,16,69
ZAMBOANGA SIBUGAY,Region IX,16,70
CAMIGUIN,Region X,13,71
MISAMIS OCCIDENTAL,Region X,13,72
NCR   THIRD DISTRICT,NCR,15,73
BASILAN,BARMM,4,74
SURIGAO DEL SUR,CARAGA,17,75
SURIGAO DEL NORTE,CARAGA,17,76
AGUSAN DEL SUR,CARAGA,17,77
CITY OF COTABATO,BARMM,4,78
AGUSAN DEL NORTE,CARAGA,17,79
DINAGAT ISLANDS,CARAGA,17,80
LANAO DEL SUR,BARMM,4,81
SULU,BARMM,4,82
APAYAO,CAR,6,83
IFUGAO,CAR,6,84
KALINGA,CAR,6,85
MOUNTAIN PROVINCE,CAR,6,86
"MANILA, NCR,  FIRST DISTRICT",NCR,15,87
NCR   FOURTH DISTRICT,NCR,15,88
Others,PSO,18,89
