Province,Region,Region ID,Province ID
ILOCOS NORTE,Region I,1,1
ILOCOS SUR,Region I,1,2
LA UNION,Region I,1,3
PANGASINAN,Region I,1,4
BATANES,Region II,2,5
CAGAYAN,Region II,2,6
ISABELA,Region II,2,7
NUEVA VIZCAYA,Region II,2,8
QUIRINO,Region II,2,9
NUEVA ECIJA,Region III,3,10
AURORA,Region III,3,11
BATAAN,Region III,3,12
BULACAN,Region III,3,13
PAMPANGA,Region III,3,14
TARLAC,Region III,3,15
ZAMBALES,Region III,3,16
CAVITE,Region IV-A,4,17
BATANGAS,Region IV-A,4,18
LAGUNA,Region IV-A,4,19
QUEZON,Region IV-A,4,20
RIZAL,Region IV-A,4,21
MARINDUQUE,MIMAROPA,5,22
OCCIDENTAL MINDORO,MIMAROPA,5,23
ORIENTAL MINDORO,MIMAROPA,5,24
PALAWAN,MIMAROPA,5,25
ROMBLON,MIMAROPA,5,26
ALBAY,Region V,6,27
CAMARINES NORTE,Region V,6,28
CAMARINES SUR,Region V,6,29
CATANDUANES,Region V,6,30
MASBATE,Region V,6,31
SORSOGON,Region V,6,32
AKLAN,Region VI,7,33
ANTIQUE,Region VI,7,34
CAPIZ,Region VI,7,35
GUIMARAS,Region VI,7,36
ILOILO,Region VI,7,37
NEGROS OCCIDENTAL,Region VI,7,38
BOHOL,Region VII,8,39
CEBU,Region VII,8,40
NEGROS ORIENTAL,Region VII,8,41
SIQUIJOR,Region VII,8,42
BILIRAN,Region VIII,9,43
LEYTE,Region VIII,9,44
SOUTHERN LEYTE,Region VIII,9,45
EASTERN SAMAR,Region VIII,9,46
NORTHERN SAMAR,Region VIII,9,47
WESTERN SAMAR,Region VIII,9,48
ZAMBOANGA DEL NORTE,Region IX,10,49
ZAMBOANGA DEL SUR,Region IX,10,50
ZAMBOANGA SIBUGAY,Region IX,10,51
CITY OF ISABELA,Region IX,10,52
BUKIDNON,Region X,11,53
CAMIGUIN,Region X,11,54
LANAO DEL NORTE,Region X,11,55
MISAMIS OCCIDENTAL,Region X,11,56
MISAMIS ORIENTAL,Region X,11,57
COMPOSTELA VALLEY,Region XI,12,58
DAVAO DEL NORTE,Region XI,12,59
DAVAO DEL SUR,Region XI,12,60
DAVAO ORIENTAL,Region XI,12,61
DAVAO OCCIDENTAL,Region XI,12,62
NORTH COTABATO,Region XII,13,63
SARANGANI,Region XII,13,64
SOUTH COTABATO,Region XII,13,65
SULTAN KUDARAT,Region XII,13,66
AGUSAN DEL NORTE,CARAGA,14,67
AGUSAN DEL SUR,CARAGA,14,68
SURIGAO DEL NORTE,CARAGA,14,69
SURIGAO DEL SUR,CARAGA,14,70
DINAGAT ISLANDS,CARAGA,14,71
MAGUINDANAO,BARMM,15,72
CITY OF COTABATO,BARMM,15,73
BASILAN,BARMM,15,74
LANAO DEL SUR,BARMM,15,75
SULU,BARMM,15,76
TAWI-TAWI,BARMM,15,77
NORTH COTABATO,BARMM,15,78
ABRA,CAR,16,79
APAYAO,CAR,16,80
BENGUET,CAR,16,81
IFUGAO,CAR,16,82
KALINGA,CAR,16,83
MOUNTAIN PROVINCE,CAR,16,84
NCR   SECOND DISTRICT,NCR,17,85
NCR   THIRD DISTRICT,NCR,17,86
"MANILA, NCR,  FIRST DISTRICT ",NCR,17,87
NCR   FOURTH DISTRICT,NCR,17,88
